"","plot_number","grass_1930","tree_1930","chaparral_1930","sage_1930","barren_1930","dom_veg_1930","sec_veg_1930","dominant_cover_1930","secondary_cover_1930","dominant_veg_1930","secondary_veg_1930","grass_2009","tree_2009","chaparral_2009","sage_2009","barren_2009","dom_veg_2009","sec_veg_2009","dominant_cover_2009","secondary_cover_2009","dominant_veg_2009","secondary_veg_2009"
"233",232,6,0,44,0,0,44,6,88,12,"chaparral","grass",1,0,49,0,0,49,1,98,2,"chaparral","grass"
"234",233,41,0,9,0,0,41,9,82,18,"grass","chaparral",32,0,18,0,0,32,18,64,36,"grass","chaparral"
"235",234,24,0,26,0,0,26,24,52,48,"chaparral","grass",26,0,24,0,0,26,24,52,48,"grass","chaparral"
"236",235,2,0,36,12,0,36,12,72,24,"chaparral","sage",37,0,4,9,0,37,9,74,18,"grass","sage"
"237",236,28,0,22,0,0,28,22,56,44,"grass","chaparral",19,0,23,0,8,23,19,46,38,"chaparral","grass"
"238",237,8,0,0,42,0,42,8,84,16,"sage","grass",41,0,0,9,0,41,9,82,18,"grass","sage"
"239",238,5,33,12,0,0,33,12,66,24,"tree","chaparral",4,16,30,0,0,30,16,60,32,"chaparral","tree"
"240",239,9,0,41,0,0,41,9,82,18,"chaparral","grass",14,0,36,0,0,36,14,72,28,"chaparral","grass"
"241",240,28,0,0,22,0,28,22,56,44,"grass","sage",36,0,1,13,0,36,13,72,26,"grass","sage"
"242",241,3,0,28,19,0,28,19,56,38,"chaparral","sage",19,0,31,0,0,31,19,62,38,"chaparral","grass"
"243",242,1,31,18,0,0,31,18,62,36,"tree","chaparral",19,12,19,0,0,19,19,38,38,"mixed","mixed"
"244",243,13,0,5,28,4,28,13,56,26,"sage","grass",31,0,19,0,0,31,19,62,38,"grass","chaparral"
"245",244,23,0,12,15,0,23,15,46,30,"grass","sage",36,0,8,6,0,36,8,72,16,"grass","chaparral"
"246",245,24,0,10,16,0,24,16,48,32,"grass","sage",35,0,14,1,0,35,14,70,28,"grass","chaparral"
"247",246,13,0,37,0,0,37,13,74,26,"chaparral","grass",11,0,39,0,0,39,11,78,22,"chaparral","grass"
"248",247,7,0,43,0,0,43,7,86,14,"chaparral","grass",27,0,8,15,0,27,15,54,30,"grass","sage"
"249",248,5,0,45,0,0,45,5,90,10,"chaparral","grass",21,0,29,0,0,29,21,58,42,"chaparral","grass"
"250",249,7,0,43,0,0,43,7,86,14,"chaparral","grass",1,0,49,0,0,49,1,98,2,"chaparral","grass"
"251",250,11,17,22,0,0,22,17,44,34,"chaparral","tree",21,16,13,0,0,21,16,42,32,"grass","tree"
"252",251,22,0,28,0,0,28,22,56,44,"chaparral","grass",10,0,40,0,0,40,10,80,20,"chaparral","grass"
"253",252,22,0,28,0,0,28,22,56,44,"chaparral","grass",6,0,44,0,0,44,6,88,12,"chaparral","grass"
"254",253,17,0,0,33,0,33,17,66,34,"sage","grass",47,0,0,3,0,47,3,94,6,"grass","sage"
"255",254,6,0,44,0,0,44,6,88,12,"chaparral","grass",33,0,15,2,0,33,15,66,30,"grass","chaparral"
"256",255,31,0,8,11,0,31,11,62,22,"grass","sage",25,0,14,11,0,25,14,50,28,"grass","chaparral"
"257",256,4,0,46,0,0,46,4,92,8,"chaparral","grass",43,0,5,2,0,43,5,86,10,"grass","chaparral"
"258",257,11,0,19,0,20,20,19,40,38,"barren","chaparral",27,0,2,15,6,27,15,54,30,"grass","sage"
"259",258,14,22,0,14,0,22,14,44,28,"tree","grass",30,15,0,5,0,30,15,60,30,"grass","tree"
"260",259,15,0,0,35,0,35,15,70,30,"sage","grass",28,0,0,22,0,28,22,56,44,"grass","sage"
"261",260,7,0,29,14,0,29,14,58,28,"chaparral","sage",28,0,16,6,0,28,16,56,32,"grass","chaparral"
"262",261,24,0,7,19,0,24,19,48,38,"grass","sage",33,0,12,5,0,33,12,66,24,"grass","chaparral"
"263",262,11,0,31,8,0,31,11,62,22,"chaparral","grass",29,0,16,5,0,29,16,58,32,"grass","chaparral"
"264",263,5,7,38,0,0,38,7,76,14,"chaparral","tree",37,0,4,9,0,37,9,74,18,"grass","sage"
"265",264,5,22,23,0,0,23,22,46,44,"chaparral","tree",34,16,0,0,0,34,16,68,32,"grass","tree"
"266",265,7,0,4,39,0,39,7,78,14,"sage","grass",22,0,10,18,0,22,18,44,36,"grass","sage"
"267",266,19,0,21,0,10,21,19,42,38,"chaparral","grass",28,0,17,0,5,28,17,56,34,"grass","chaparral"
"268",267,25,0,25,0,0,25,25,50,50,"mixed","mixed",18,0,23,9,0,23,18,46,36,"chaparral","grass"
"269",268,5,0,37,8,0,37,8,74,16,"chaparral","sage",44,0,0,6,0,44,6,88,12,"grass","sage"
"270",269,1,0,47,0,2,47,2,94,4,"chaparral","barren",1,0,46,0,3,46,3,92,6,"chaparral","barren"
"271",270,7,0,8,35,0,35,8,70,16,"sage","chaparral",35,0,3,12,0,35,12,70,24,"grass","sage"
"272",271,30,0,8,12,0,30,12,60,24,"grass","sage",41,0,7,2,0,41,7,82,14,"grass","chaparral"
"273",272,6,0,44,0,0,44,6,88,12,"chaparral","grass",41,0,6,3,0,41,6,82,12,"grass","chaparral"
"274",273,26,0,2,22,0,26,22,52,44,"grass","sage",41,0,5,4,0,41,5,82,10,"grass","chaparral"
"275",274,21,0,29,0,0,29,21,58,42,"chaparral","grass",22,0,25,3,0,25,22,50,44,"chaparral","grass"
"276",275,4,0,46,0,0,46,4,92,8,"chaparral","grass",7,0,43,0,0,43,7,86,14,"chaparral","grass"
"277",276,0,0,48,0,2,48,2,96,4,"chaparral","barren",26,0,17,7,0,26,17,52,34,"grass","chaparral"
"278",277,18,0,27,5,0,27,18,54,36,"chaparral","grass",25,0,3,22,0,25,22,50,44,"grass","sage"
"279",278,1,0,49,0,0,49,1,98,2,"chaparral","grass",15,0,35,0,0,35,15,70,30,"chaparral","grass"
"280",279,2,0,42,0,6,42,6,84,12,"chaparral","barren",23,0,23,0,4,23,23,46,46,"mixed","mixed"
"281",280,11,0,35,4,0,35,11,70,22,"chaparral","grass",37,0,11,2,0,37,11,74,22,"grass","chaparral"
"282",281,14,0,36,0,0,36,14,72,28,"chaparral","grass",6,0,44,0,0,44,6,88,12,"chaparral","grass"
"283",282,4,0,46,0,0,46,4,92,8,"chaparral","grass",19,0,31,0,0,31,19,62,38,"chaparral","grass"
"284",283,39,0,11,0,0,39,11,78,22,"grass","chaparral",31,0,16,3,0,31,16,62,32,"grass","chaparral"
"285",284,11,0,14,0,25,25,14,50,28,"barren","chaparral",8,0,10,0,32,32,10,64,20,"barren","chaparral"
"286",285,9,0,41,0,0,41,9,82,18,"chaparral","grass",9,0,41,0,0,41,9,82,18,"chaparral","grass"
"287",286,29,0,21,0,0,29,21,58,42,"grass","chaparral",30,0,20,0,0,30,20,60,40,"grass","chaparral"
"288",287,4,0,46,0,0,46,4,92,8,"chaparral","grass",12,0,38,0,0,38,12,76,24,"chaparral","grass"
"289",288,10,0,40,0,0,40,10,80,20,"chaparral","grass",17,0,33,0,0,33,17,66,34,"chaparral","grass"
"290",289,7,0,43,0,0,43,7,86,14,"chaparral","grass",41,0,9,0,0,41,9,82,18,"grass","chaparral"
"291",290,18,32,0,0,0,32,18,64,36,"tree","grass",8,42,0,0,0,42,8,84,16,"tree","grass"
"292",291,22,0,15,13,0,22,15,44,30,"grass","chaparral",24,0,1,25,0,25,24,50,48,"sage","grass"
"293",292,29,0,0,21,0,29,21,58,42,"grass","sage",35,0,5,10,0,35,10,70,20,"grass","sage"
"294",293,14,0,33,3,0,33,14,66,28,"chaparral","grass",13,0,36,1,0,36,13,72,26,"chaparral","grass"
"295",294,30,0,19,1,0,30,19,60,38,"grass","chaparral",30,0,19,1,0,30,19,60,38,"grass","chaparral"
"296",295,20,30,0,0,0,30,20,60,40,"tree","grass",7,43,0,0,0,43,7,86,14,"tree","grass"
"297",296,20,0,30,0,0,30,20,60,40,"chaparral","grass",28,0,22,0,0,28,22,56,44,"grass","chaparral"
"298",297,6,0,44,0,0,44,6,88,12,"chaparral","grass",0,0,50,0,0,50,0,100,0,"chaparral","grass"
"299",298,14,11,0,25,0,25,14,50,28,"sage","grass",26,10,0,14,0,26,14,52,28,"grass","sage"
"300",299,11,0,39,0,0,39,11,78,22,"chaparral","grass",35,0,10,5,0,35,10,70,20,"grass","chaparral"
"301",300,1,0,49,0,0,49,1,98,2,"chaparral","grass",7,0,43,0,0,43,7,86,14,"chaparral","grass"
"302",301,16,0,34,0,0,34,16,68,32,"chaparral","grass",17,0,33,0,0,33,17,66,34,"chaparral","grass"
"303",302,13,14,3,20,0,20,14,40,28,"sage","tree",35,11,2,2,0,35,11,70,22,"grass","tree"
"304",303,30,0,20,0,0,30,20,60,40,"grass","chaparral",42,0,7,1,0,42,7,84,14,"grass","chaparral"
"305",304,1,0,49,0,0,49,1,98,2,"chaparral","grass",32,0,18,0,0,32,18,64,36,"grass","chaparral"
"306",305,17,0,0,33,0,33,17,66,34,"sage","grass",48,0,0,2,0,48,2,96,4,"grass","sage"
"307",306,14,0,22,14,0,22,14,44,28,"chaparral","grass",35,0,6,9,0,35,9,70,18,"grass","sage"
"308",307,12,0,38,0,0,38,12,76,24,"chaparral","grass",35,0,15,0,0,35,15,70,30,"grass","chaparral"
"309",308,21,29,0,0,0,29,21,58,42,"tree","grass",28,22,0,0,0,28,22,56,44,"grass","tree"
"310",309,18,0,22,0,10,22,18,44,36,"chaparral","grass",13,0,4,0,33,33,13,66,26,"barren","grass"
"311",310,10,0,12,28,0,28,12,56,24,"sage","chaparral",44,0,2,4,0,44,4,88,8,"grass","sage"
"312",311,17,0,32,1,0,32,17,64,34,"chaparral","grass",23,0,27,0,0,27,23,54,46,"chaparral","grass"
"313",312,9,0,41,0,0,41,9,82,18,"chaparral","grass",30,0,3,17,0,30,17,60,34,"grass","sage"
"314",313,4,0,30,16,0,30,16,60,32,"chaparral","sage",14,0,34,2,0,34,14,68,28,"chaparral","grass"
"315",314,18,0,8,24,0,24,18,48,36,"sage","grass",38,0,6,6,0,38,6,76,12,"grass","chaparral"
"316",315,10,0,31,9,0,31,10,62,20,"chaparral","grass",31,0,13,6,0,31,13,62,26,"grass","chaparral"
"317",316,26,0,1,23,0,26,23,52,46,"grass","sage",40,0,10,0,0,40,10,80,20,"grass","chaparral"
"318",317,6,0,44,0,0,44,6,88,12,"chaparral","grass",13,0,37,0,0,37,13,74,26,"chaparral","grass"
"319",318,9,8,6,27,0,27,9,54,18,"sage","grass",43,2,0,5,0,43,5,86,10,"grass","sage"
"320",319,6,0,43,1,0,43,6,86,12,"chaparral","grass",36,0,2,12,0,36,12,72,24,"grass","sage"
"321",320,5,0,27,0,18,27,18,54,36,"chaparral","barren",13,0,25,0,12,25,13,50,26,"chaparral","grass"
"322",321,4,0,46,0,0,46,4,92,8,"chaparral","grass",10,0,40,0,0,40,10,80,20,"chaparral","grass"
"323",322,24,0,26,0,0,26,24,52,48,"chaparral","grass",14,0,5,31,0,31,14,62,28,"sage","grass"
"324",323,17,33,0,0,0,33,17,66,34,"tree","grass",6,44,0,0,0,44,6,88,12,"tree","grass"
"325",324,25,25,0,0,0,25,25,50,50,"mixed","mixed",18,32,0,0,0,32,18,64,36,"tree","grass"
"326",325,8,0,42,0,0,42,8,84,16,"chaparral","grass",26,0,24,0,0,26,24,52,48,"grass","chaparral"
"327",326,7,18,0,25,0,25,18,50,36,"sage","tree",27,23,0,0,0,27,23,54,46,"grass","tree"
"328",327,5,0,45,0,0,45,5,90,10,"chaparral","grass",36,0,8,6,0,36,8,72,16,"grass","chaparral"
"329",328,9,0,40,1,0,40,9,80,18,"chaparral","grass",21,0,29,0,0,29,21,58,42,"chaparral","grass"
"330",329,13,0,37,0,0,37,13,74,26,"chaparral","grass",38,0,8,4,0,38,8,76,16,"grass","chaparral"
"331",330,17,0,33,0,0,33,17,66,34,"chaparral","grass",32,0,6,12,0,32,12,64,24,"grass","sage"
"332",331,0,0,38,0,12,38,12,76,24,"chaparral","barren",7,0,25,0,18,25,18,50,36,"chaparral","barren"
"333",332,5,45,0,0,0,45,5,90,10,"tree","grass",12,38,0,0,0,38,12,76,24,"tree","grass"
"334",333,21,0,29,0,0,29,21,58,42,"chaparral","grass",44,0,4,2,0,44,4,88,8,"grass","chaparral"
"335",334,0,0,28,0,22,28,22,56,44,"chaparral","barren",9,0,29,0,12,29,12,58,24,"chaparral","barren"
"336",335,19,0,1,30,0,30,19,60,38,"sage","grass",30,0,8,12,0,30,12,60,24,"grass","sage"
"337",336,18,0,22,10,0,22,18,44,36,"chaparral","grass",33,0,17,0,0,33,17,66,34,"grass","chaparral"
"338",337,14,36,0,0,0,36,14,72,28,"tree","grass",27,23,0,0,0,27,23,54,46,"grass","tree"
"339",338,17,0,0,33,0,33,17,66,34,"sage","grass",50,0,0,0,0,50,0,100,0,"grass","tree"
"340",339,2,0,48,0,0,48,2,96,4,"chaparral","grass",12,0,17,21,0,21,17,42,34,"sage","chaparral"
"341",340,7,0,43,0,0,43,7,86,14,"chaparral","grass",13,0,37,0,0,37,13,74,26,"chaparral","grass"
"342",341,4,0,46,0,0,46,4,92,8,"chaparral","grass",13,0,37,0,0,37,13,74,26,"chaparral","grass"
"343",342,27,0,0,23,0,27,23,54,46,"grass","sage",17,0,4,29,0,29,17,58,34,"sage","grass"
"344",343,33,0,17,0,0,33,17,66,34,"grass","chaparral",31,0,17,2,0,31,17,62,34,"grass","chaparral"
"345",344,9,0,41,0,0,41,9,82,18,"chaparral","grass",24,0,26,0,0,26,24,52,48,"chaparral","grass"
"346",345,25,0,0,25,0,25,25,50,50,"mixed","mixed",11,0,38,1,0,38,11,76,22,"chaparral","grass"
"347",346,18,0,9,23,0,23,18,46,36,"sage","grass",16,0,1,33,0,33,16,66,32,"sage","grass"
"348",347,28,0,0,22,0,28,22,56,44,"grass","sage",45,0,0,5,0,45,5,90,10,"grass","sage"
"349",348,3,0,47,0,0,47,3,94,6,"chaparral","grass",0,0,50,0,0,50,0,100,0,"chaparral","grass"
"350",349,9,41,0,0,0,41,9,82,18,"tree","grass",16,32,2,0,0,32,16,64,32,"tree","grass"
"351",350,9,0,0,41,0,41,9,82,18,"sage","grass",47,0,0,3,0,47,3,94,6,"grass","sage"
"352",351,29,0,21,0,0,29,21,58,42,"grass","chaparral",26,0,24,0,0,26,24,52,48,"grass","chaparral"
"353",352,22,0,4,24,0,24,22,48,44,"sage","grass",45,0,0,5,0,45,5,90,10,"grass","sage"
"354",353,37,0,8,5,0,37,8,74,16,"grass","chaparral",34,0,7,9,0,34,9,68,18,"grass","sage"
"355",354,26,0,0,24,0,26,24,52,48,"grass","sage",28,0,22,0,0,28,22,56,44,"grass","chaparral"
"356",355,0,0,36,0,14,36,14,72,28,"chaparral","barren",10,0,40,0,0,40,10,80,20,"chaparral","grass"
"357",356,22,0,1,27,0,27,22,54,44,"sage","grass",41,0,4,5,0,41,5,82,10,"grass","sage"
"358",357,12,0,0,38,0,38,12,76,24,"sage","grass",37,0,4,9,0,37,9,74,18,"grass","sage"
"359",358,15,0,34,1,0,34,15,68,30,"chaparral","grass",22,0,28,0,0,28,22,56,44,"chaparral","grass"
"360",359,17,0,33,0,0,33,17,66,34,"chaparral","grass",28,0,22,0,0,28,22,56,44,"grass","chaparral"
"361",360,29,21,0,0,0,29,21,58,42,"grass","tree",20,30,0,0,0,30,20,60,40,"tree","grass"
"362",361,19,0,13,18,0,19,18,38,36,"grass","sage",23,0,24,3,0,24,23,48,46,"chaparral","grass"
"363",362,29,0,0,21,0,29,21,58,42,"grass","sage",22,0,0,28,0,28,22,56,44,"sage","grass"
"364",363,2,0,48,0,0,48,2,96,4,"chaparral","grass",7,0,43,0,0,43,7,86,14,"chaparral","grass"
"365",364,13,0,26,11,0,26,13,52,26,"chaparral","grass",21,0,29,0,0,29,21,58,42,"chaparral","grass"
"366",365,7,16,27,0,0,27,16,54,32,"chaparral","tree",20,7,23,0,0,23,20,46,40,"chaparral","grass"
"367",366,9,19,22,0,0,22,19,44,38,"chaparral","tree",2,18,30,0,0,30,18,60,36,"chaparral","tree"
"368",367,24,26,0,0,0,26,24,52,48,"tree","grass",21,29,0,0,0,29,21,58,42,"tree","grass"
"369",368,21,0,0,29,0,29,21,58,42,"sage","grass",46,0,0,4,0,46,4,92,8,"grass","sage"
"370",369,25,0,25,0,0,25,25,50,50,"mixed","mixed",15,0,35,0,0,35,15,70,30,"chaparral","grass"
"371",370,12,15,23,0,0,23,15,46,30,"chaparral","tree",10,0,21,19,0,21,19,42,38,"chaparral","sage"
"372",371,41,0,7,2,0,41,7,82,14,"grass","chaparral",46,0,3,1,0,46,3,92,6,"grass","chaparral"
"373",372,4,0,0,46,0,46,4,92,8,"sage","grass",34,0,0,16,0,34,16,68,32,"grass","sage"
"374",373,10,0,39,1,0,39,10,78,20,"chaparral","grass",11,0,38,1,0,38,11,76,22,"chaparral","grass"
"375",374,15,10,25,0,0,25,15,50,30,"chaparral","grass",17,5,28,0,0,28,17,56,34,"chaparral","grass"
"376",375,11,0,39,0,0,39,11,78,22,"chaparral","grass",12,0,38,0,0,38,12,76,24,"chaparral","grass"
"377",376,9,0,0,41,0,41,9,82,18,"sage","grass",20,0,2,28,0,28,20,56,40,"sage","grass"
"378",377,8,0,42,0,0,42,8,84,16,"chaparral","grass",17,0,33,0,0,33,17,66,34,"chaparral","grass"
"379",378,14,36,0,0,0,36,14,72,28,"tree","grass",28,22,0,0,0,28,22,56,44,"grass","tree"
"380",379,15,0,6,29,0,29,15,58,30,"sage","grass",23,0,7,20,0,23,20,46,40,"grass","sage"
"381",380,15,0,35,0,0,35,15,70,30,"chaparral","grass",35,0,7,8,0,35,8,70,16,"grass","sage"
"382",381,33,0,9,8,0,33,9,66,18,"grass","chaparral",32,0,12,6,0,32,12,64,24,"grass","chaparral"
"383",382,23,1,1,25,0,25,23,50,46,"sage","grass",31,0,10,9,0,31,10,62,20,"grass","chaparral"
"384",383,21,0,29,0,0,29,21,58,42,"chaparral","grass",19,0,31,0,0,31,19,62,38,"chaparral","grass"
"385",384,11,19,20,0,0,20,19,40,38,"chaparral","tree",5,43,2,0,0,43,5,86,10,"tree","grass"
"386",385,26,24,0,0,0,26,24,52,48,"grass","tree",10,40,0,0,0,40,10,80,20,"tree","grass"
"387",386,6,0,44,0,0,44,6,88,12,"chaparral","grass",13,0,37,0,0,37,13,74,26,"chaparral","grass"
"388",387,18,0,19,13,0,19,18,38,36,"chaparral","grass",10,0,36,4,0,36,10,72,20,"chaparral","grass"
"389",388,23,0,27,0,0,27,23,54,46,"chaparral","grass",21,0,29,0,0,29,21,58,42,"chaparral","grass"
"390",389,13,0,37,0,0,37,13,74,26,"chaparral","grass",6,0,44,0,0,44,6,88,12,"chaparral","grass"
"391",390,10,0,40,0,0,40,10,80,20,"chaparral","grass",13,0,37,0,0,37,13,74,26,"chaparral","grass"
"392",391,6,0,44,0,0,44,6,88,12,"chaparral","grass",23,0,27,0,0,27,23,54,46,"chaparral","grass"
"393",392,4,0,46,0,0,46,4,92,8,"chaparral","grass",9,0,41,0,0,41,9,82,18,"chaparral","grass"
"394",393,3,0,47,0,0,47,3,94,6,"chaparral","grass",28,0,22,0,0,28,22,56,44,"grass","chaparral"
"395",394,9,0,41,0,0,41,9,82,18,"chaparral","grass",11,0,39,0,0,39,11,78,22,"chaparral","grass"
"396",395,2,0,9,39,0,39,9,78,18,"sage","chaparral",35,0,9,6,0,35,9,70,18,"grass","chaparral"
"397",396,0,0,50,0,0,50,0,100,0,"chaparral","grass",0,0,50,0,0,50,0,100,0,"chaparral","grass"
"398",397,0,0,41,0,9,41,9,82,18,"chaparral","barren",2,0,46,0,2,46,2,92,4,"chaparral","grass"
"399",398,14,0,36,0,0,36,14,72,28,"chaparral","grass",34,0,2,14,0,34,14,68,28,"grass","sage"
"400",399,6,9,35,0,0,35,9,70,18,"chaparral","tree",19,0,3,28,0,28,19,56,38,"sage","grass"
"401",400,18,0,32,0,0,32,18,64,36,"chaparral","grass",10,0,40,0,0,40,10,80,20,"chaparral","grass"
"402",401,26,0,6,18,0,26,18,52,36,"grass","sage",30,0,10,10,0,30,10,60,20,"grass","chaparral"
"403",402,4,0,46,0,0,46,4,92,8,"chaparral","grass",29,0,0,21,0,29,21,58,42,"grass","sage"
"404",403,22,0,18,10,0,22,18,44,36,"grass","chaparral",37,0,10,3,0,37,10,74,20,"grass","chaparral"
"405",404,8,0,42,0,0,42,8,84,16,"chaparral","grass",18,0,32,0,0,32,18,64,36,"chaparral","grass"
"406",405,22,0,28,0,0,28,22,56,44,"chaparral","grass",12,0,38,0,0,38,12,76,24,"chaparral","grass"
"407",406,8,0,42,0,0,42,8,84,16,"chaparral","grass",32,0,14,4,0,32,14,64,28,"grass","chaparral"
"408",407,28,4,18,0,0,28,18,56,36,"grass","chaparral",33,0,15,2,0,33,15,66,30,"grass","chaparral"
"409",408,20,0,0,30,0,30,20,60,40,"sage","grass",44,0,1,5,0,44,5,88,10,"grass","sage"
"410",409,19,12,18,1,0,19,18,38,36,"grass","chaparral",33,0,17,0,0,33,17,66,34,"grass","chaparral"
"411",410,17,33,0,0,0,33,17,66,34,"tree","grass",22,28,0,0,0,28,22,56,44,"tree","grass"
"412",411,15,0,0,35,0,35,15,70,30,"sage","grass",42,0,2,6,0,42,6,84,12,"grass","sage"
"413",412,28,0,20,2,0,28,20,56,40,"grass","chaparral",46,0,1,3,0,46,3,92,6,"grass","sage"
"414",413,13,0,37,0,0,37,13,74,26,"chaparral","grass",27,0,23,0,0,27,23,54,46,"grass","chaparral"
"415",414,25,0,19,6,0,25,19,50,38,"grass","chaparral",31,0,15,4,0,31,15,62,30,"grass","chaparral"
"416",415,13,0,33,4,0,33,13,66,26,"chaparral","grass",10,0,40,0,0,40,10,80,20,"chaparral","grass"
"417",416,21,29,0,0,0,29,21,58,42,"tree","grass",31,19,0,0,0,31,19,62,38,"grass","tree"
"418",417,29,0,19,2,0,29,19,58,38,"grass","chaparral",29,0,21,0,0,29,21,58,42,"grass","chaparral"
"419",418,36,0,0,14,0,36,14,72,28,"grass","sage",47,0,0,3,0,47,3,94,6,"grass","sage"
"420",419,6,0,44,0,0,44,6,88,12,"chaparral","grass",26,0,24,0,0,26,24,52,48,"grass","chaparral"
"421",420,19,0,31,0,0,31,19,62,38,"chaparral","grass",12,0,38,0,0,38,12,76,24,"chaparral","grass"
"422",421,6,0,44,0,0,44,6,88,12,"chaparral","grass",34,0,16,0,0,34,16,68,32,"grass","chaparral"
"423",422,12,0,38,0,0,38,12,76,24,"chaparral","grass",12,0,38,0,0,38,12,76,24,"chaparral","grass"
"424",423,36,0,13,1,0,36,13,72,26,"grass","chaparral",11,0,39,0,0,39,11,78,22,"chaparral","grass"
"425",424,2,0,48,0,0,48,2,96,4,"chaparral","grass",4,0,46,0,0,46,4,92,8,"chaparral","grass"
"426",425,9,0,41,0,0,41,9,82,18,"chaparral","grass",19,0,31,0,0,31,19,62,38,"chaparral","grass"
"427",426,9,0,41,0,0,41,9,82,18,"chaparral","grass",3,0,47,0,0,47,3,94,6,"chaparral","grass"
"428",427,29,0,0,21,0,29,21,58,42,"grass","sage",50,0,0,0,0,50,0,100,0,"grass","tree"
"429",428,1,0,49,0,0,49,1,98,2,"chaparral","grass",11,0,39,0,0,39,11,78,22,"chaparral","grass"
"430",429,5,0,45,0,0,45,5,90,10,"chaparral","grass",10,0,38,0,2,38,10,76,20,"chaparral","grass"
"431",430,32,18,0,0,0,32,18,64,36,"grass","tree",38,3,0,9,0,38,9,76,18,"grass","sage"
"432",431,2,0,5,43,0,43,5,86,10,"sage","chaparral",15,0,34,1,0,34,15,68,30,"chaparral","grass"
"433",432,20,30,0,0,0,30,20,60,40,"tree","grass",12,38,0,0,0,38,12,76,24,"tree","grass"
"434",433,12,28,10,0,0,28,12,56,24,"tree","grass",20,30,0,0,0,30,20,60,40,"tree","grass"
"435",434,33,17,0,0,0,33,17,66,34,"grass","tree",22,28,0,0,0,28,22,56,44,"tree","grass"
"436",435,13,0,0,37,0,37,13,74,26,"sage","grass",48,0,0,2,0,48,2,96,4,"grass","sage"
"437",436,9,0,41,0,0,41,9,82,18,"chaparral","grass",19,0,31,0,0,31,19,62,38,"chaparral","grass"
"438",437,7,0,43,0,0,43,7,86,14,"chaparral","grass",17,0,33,0,0,33,17,66,34,"chaparral","grass"
"439",438,29,0,15,6,0,29,15,58,30,"grass","chaparral",34,0,8,8,0,34,8,68,16,"grass","chaparral"
"440",439,3,0,47,0,0,47,3,94,6,"chaparral","grass",7,0,43,0,0,43,7,86,14,"chaparral","grass"
"441",440,24,0,26,0,0,26,24,52,48,"chaparral","grass",30,0,15,5,0,30,15,60,30,"grass","chaparral"
"442",441,11,0,39,0,0,39,11,78,22,"chaparral","grass",12,0,38,0,0,38,12,76,24,"chaparral","grass"
"443",442,24,0,26,0,0,26,24,52,48,"chaparral","grass",32,0,18,0,0,32,18,64,36,"grass","chaparral"
"444",443,18,0,3,29,0,29,18,58,36,"sage","grass",34,0,3,13,0,34,13,68,26,"grass","sage"
"445",444,3,0,41,0,6,41,6,82,12,"chaparral","barren",2,0,43,0,5,43,5,86,10,"chaparral","barren"
"446",445,4,46,0,0,0,46,4,92,8,"tree","grass",28,2,20,0,0,28,20,56,40,"grass","chaparral"
"447",446,26,0,2,22,0,26,22,52,44,"grass","sage",36,0,9,5,0,36,9,72,18,"grass","chaparral"
"448",447,12,0,38,0,0,38,12,76,24,"chaparral","grass",11,0,38,1,0,38,11,76,22,"chaparral","grass"
"449",448,22,0,12,16,0,22,16,44,32,"grass","sage",21,0,0,29,0,29,21,58,42,"sage","grass"
"450",449,15,0,35,0,0,35,15,70,30,"chaparral","grass",22,0,28,0,0,28,22,56,44,"chaparral","grass"
"451",450,10,0,0,40,0,40,10,80,20,"sage","grass",47,0,1,2,0,47,2,94,4,"grass","sage"
"452",451,43,0,6,1,0,43,6,86,12,"grass","chaparral",37,1,4,8,0,37,8,74,16,"grass","sage"
"453",452,17,0,33,0,0,33,17,66,34,"chaparral","grass",45,0,1,4,0,45,4,90,8,"grass","sage"
"454",453,10,0,16,24,0,24,16,48,32,"sage","chaparral",48,0,0,2,0,48,2,96,4,"grass","sage"
"455",454,36,1,0,13,0,36,13,72,26,"grass","sage",30,7,1,12,0,30,12,60,24,"grass","sage"
"456",455,11,0,39,0,0,39,11,78,22,"chaparral","grass",5,0,45,0,0,45,5,90,10,"chaparral","grass"
"457",456,3,0,47,0,0,47,3,94,6,"chaparral","grass",12,0,38,0,0,38,12,76,24,"chaparral","grass"
"458",457,11,0,39,0,0,39,11,78,22,"chaparral","grass",15,0,35,0,0,35,15,70,30,"chaparral","grass"
"459",458,2,15,33,0,0,33,15,66,30,"chaparral","tree",19,6,0,25,0,25,19,50,38,"sage","grass"
"460",459,6,0,44,0,0,44,6,88,12,"chaparral","grass",27,0,16,7,0,27,16,54,32,"grass","chaparral"
"461",460,16,0,33,1,0,33,16,66,32,"chaparral","grass",17,0,28,5,0,28,17,56,34,"chaparral","grass"
"462",461,30,0,0,20,0,30,20,60,40,"grass","sage",20,0,28,2,0,28,20,56,40,"chaparral","grass"
"463",462,28,0,6,16,0,28,16,56,32,"grass","sage",40,0,2,8,0,40,8,80,16,"grass","sage"
"464",463,28,12,0,10,0,28,12,56,24,"grass","tree",37,2,5,6,0,37,6,74,12,"grass","sage"
"465",464,21,1,0,28,0,28,21,56,42,"sage","grass",38,5,1,6,0,38,6,76,12,"grass","sage"
"466",465,19,0,21,10,0,21,19,42,38,"chaparral","grass",25,0,17,8,0,25,17,50,34,"grass","chaparral"
"467",466,6,3,41,0,0,41,6,82,12,"chaparral","grass",1,16,33,0,0,33,16,66,32,"chaparral","tree"
